col,row,x_mm,y_mm,type,enrichment_wt%
0,16,-100.984,100.984,Er,
1,16,-88.361,100.984,Er,
2,16,-75.738,100.984,plain_4.4,4.4
3,16,-63.115,100.984,plain_4.4,4.4
4,16,-50.492,100.984,plain_4.4,4.4
5,16,-37.869,100.984,plain_4.4,4.4
6,16,-25.246,100.984,plain_4.4,4.4
7,16,-12.623,100.984,plain_4.4,4.4
8,16,0.0,100.984,plain_4.4,4.4
9,16,12.623,100.984,plain_4.4,4.4
10,16,25.246,100.984,plain_4.4,4.4
11,16,37.869,100.984,plain_4.4,4.4
12,16,50.492,100.984,plain_4.4,4.4
13,16,63.115,100.984,plain_4.4,4.4
14,16,75.738,100.984,plain_4.4,4.4
15,16,88.361,100.984,Er,
16,16,100.984,100.984,Er,
0,15,-100.984,88.361,Er,
1,15,-88.361,88.361,Er,
2,15,-75.738,88.361,plain_4.4,4.4
3,15,-63.115,88.361,plain_4.4,4.4
4,15,-50.492,88.361,plain_4.4,4.4
5,15,-37.869,88.361,plain_4.4,4.4
6,15,-25.246,88.361,plain_4.4,4.4
7,15,-12.623,88.361,plain_4.4,4.4
8,15,0.0,88.361,plain_4.4,4.4
9,15,12.623,88.361,plain_4.4,4.4
10,15,25.246,88.361,plain_4.4,4.4
11,15,37.869,88.361,plain_4.4,4.4
12,15,50.492,88.361,plain_4.4,4.4
13,15,63.115,88.361,plain_4.4,4.4
14,15,75.738,88.361,plain_4.4,4.4
15,15,88.361,88.361,Er,
16,15,100.984,88.361,Er,
0,14,-100.984,75.738,plain_4.4,4.4
1,14,-88.361,75.738,plain_4.4,4.4
2,14,-75.738,75.738,plain_4.4,4.4
3,14,-63.115,75.738,plain_4.4,4.4
4,14,-50.492,75.738,plain_4.4,4.4
5,14,-37.869,75.738,guide,
6,14,-25.246,75.738,plain_4.7,4.7
7,14,-12.623,75.738,plain_4.7,4.7
8,14,0.0,75.738,guide,
9,14,12.623,75.738,plain_4.7,4.7
10,14,25.246,75.738,plain_4.7,4.7
11,14,37.869,75.738,guide,
12,14,50.492,75.738,plain_4.4,4.4
13,14,63.115,75.738,plain_4.4,4.4
14,14,75.738,75.738,plain_4.4,4.4
15,14,88.361,75.738,plain_4.4,4.4
16,14,100.984,75.738,plain_4.4,4.4
0,13,-100.984,63.115,plain_4.4,4.4
1,13,-88.361,63.115,plain_4.4,4.4
2,13,-75.738,63.115,plain_4.4,4.4
3,13,-63.115,63.115,guide,
4,13,-50.492,63.115,plain_4.7,4.7
5,13,-37.869,63.115,Gd,
6,13,-25.246,63.115,Gd,
7,13,-12.623,63.115,Gd,
8,13,0.0,63.115,Gd,
9,13,12.623,63.115,Gd,
10,13,25.246,63.115,Gd,
11,13,37.869,63.115,Gd,
12,13,50.492,63.115,plain_4.7,4.7
13,13,63.115,63.115,guide,
14,13,75.738,63.115,plain_4.4,4.4
15,13,88.361,63.115,plain_4.4,4.4
16,13,100.984,63.115,plain_4.4,4.4
0,12,-100.984,50.492,plain_4.4,4.4
1,12,-88.361,50.492,plain_4.4,4.4
2,12,-75.738,50.492,plain_4.4,4.4
3,12,-63.115,50.492,plain_4.7,4.7
4,12,-50.492,50.492,Gd,
5,12,-37.869,50.492,Gd,
6,12,-25.246,50.492,plain_4.7,4.7
7,12,-12.623,50.492,plain_4.7,4.7
8,12,0.0,50.492,plain_4.7,4.7
9,12,12.623,50.492,plain_4.7,4.7
10,12,25.246,50.492,plain_4.7,4.7
11,12,37.869,50.492,Gd,
12,12,50.492,50.492,Gd,
13,12,63.115,50.492,plain_4.7,4.7
14,12,75.738,50.492,plain_4.4,4.4
15,12,88.361,50.492,plain_4.4,4.4
16,12,100.984,50.492,plain_4.4,4.4
0,11,-100.984,37.869,plain_4.4,4.4
1,11,-88.361,37.869,plain_4.4,4.4
2,11,-75.738,37.869,guide,
3,11,-63.115,37.869,Gd,
4,11,-50.492,37.869,Gd,
5,11,-37.869,37.869,guide,
6,11,-25.246,37.869,plain_4.7,4.7
7,11,-12.623,37.869,plain_5.0,5.0
8,11,0.0,37.869,guide,
9,11,12.623,37.869,plain_5.0,5.0
10,11,25.246,37.869,plain_4.7,4.7
11,11,37.869,37.869,guide,
12,11,50.492,37.869,Gd,
13,11,63.115,37.869,Gd,
14,11,75.738,37.869,guide,
15,11,88.361,37.869,plain_4.4,4.4
16,11,100.984,37.869,plain_4.4,4.4
0,10,-100.984,25.246,plain_4.4,4.4
1,10,-88.361,25.246,plain_4.4,4.4
2,10,-75.738,25.246,plain_4.7,4.7
3,10,-63.115,25.246,Gd,
4,10,-50.492,25.246,plain_4.7,4.7
5,10,-37.869,25.246,plain_4.7,4.7
6,10,-25.246,25.246,plain_5.0,5.0
7,10,-12.623,25.246,plain_5.0,5.0
8,10,0.0,25.246,plain_5.0,5.0
9,10,12.623,25.246,plain_5.0,5.0
10,10,25.246,25.246,plain_5.0,5.0
11,10,37.869,25.246,plain_4.7,4.7
12,10,50.492,25.246,plain_4.7,4.7
13,10,63.115,25.246,Gd,
14,10,75.738,25.246,plain_4.7,4.7
15,10,88.361,25.246,plain_4.4,4.4
16,10,100.984,25.246,plain_4.4,4.4
0,9,-100.984,12.623,plain_4.4,4.4
1,9,-88.361,12.623,plain_4.4,4.4
2,9,-75.738,12.623,plain_4.7,4.7
3,9,-63.115,12.623,Gd,
4,9,-50.492,12.623,plain_4.7,4.7
5,9,-37.869,12.623,plain_5.0,5.0
6,9,-25.246,12.623,plain_5.0,5.0
7,9,-12.623,12.623,plain_5.0,5.0
8,9,0.0,12.623,plain_5.0,5.0
9,9,12.623,12.623,plain_5.0,5.0
10,9,25.246,12.623,plain_5.0,5.0
11,9,37.869,12.623,plain_5.0,5.0
12,9,50.492,12.623,plain_4.7,4.7
13,9,63.115,12.623,Gd,
14,9,75.738,12.623,plain_4.7,4.7
15,9,88.361,12.623,plain_4.4,4.4
16,9,100.984,12.623,plain_4.4,4.4
0,8,-100.984,0.0,plain_4.4,4.4
1,8,-88.361,0.0,plain_4.4,4.4
2,8,-75.738,0.0,guide,
3,8,-63.115,0.0,Gd,
4,8,-50.492,0.0,plain_4.7,4.7
5,8,-37.869,0.0,guide,
6,8,-25.246,0.0,plain_5.0,5.0
7,8,-12.623,0.0,plain_5.0,5.0
8,8,0.0,0.0,guide,
9,8,12.623,0.0,plain_5.0,5.0
10,8,25.246,0.0,plain_5.0,5.0
11,8,37.869,0.0,guide,
12,8,50.492,0.0,plain_4.7,4.7
13,8,63.115,0.0,Gd,
14,8,75.738,0.0,guide,
15,8,88.361,0.0,plain_4.4,4.4
16,8,100.984,0.0,plain_4.4,4.4
0,7,-100.984,-12.623,plain_4.4,4.4
1,7,-88.361,-12.623,plain_4.4,4.4
2,7,-75.738,-12.623,plain_4.7,4.7
3,7,-63.115,-12.623,Gd,
4,7,-50.492,-12.623,plain_4.7,4.7
5,7,-37.869,-12.623,plain_5.0,5.0
6,7,-25.246,-12.623,plain_5.0,5.0
7,7,-12.623,-12.623,plain_5.0,5.0
8,7,0.0,-12.623,plain_5.0,5.0
9,7,12.623,-12.623,plain_5.0,5.0
10,7,25.246,-12.623,plain_5.0,5.0
11,7,37.869,-12.623,plain_5.0,5.0
12,7,50.492,-12.623,plain_4.7,4.7
13,7,63.115,-12.623,Gd,
14,7,75.738,-12.623,plain_4.7,4.7
15,7,88.361,-12.623,plain_4.4,4.4
16,7,100.984,-12.623,plain_4.4,4.4
0,6,-100.984,-25.246,plain_4.4,4.4
1,6,-88.361,-25.246,plain_4.4,4.4
2,6,-75.738,-25.246,plain_4.7,4.7
3,6,-63.115,-25.246,Gd,
4,6,-50.492,-25.246,plain_4.7,4.7
5,6,-37.869,-25.246,plain_4.7,4.7
6,6,-25.246,-25.246,plain_5.0,5.0
7,6,-12.623,-25.246,plain_5.0,5.0
8,6,0.0,-25.246,plain_5.0,5.0
9,6,12.623,-25.246,plain_5.0,5.0
10,6,25.246,-25.246,plain_5.0,5.0
11,6,37.869,-25.246,plain_4.7,4.7
12,6,50.492,-25.246,plain_4.7,4.7
13,6,63.115,-25.246,Gd,
14,6,75.738,-25.246,plain_4.7,4.7
15,6,88.361,-25.246,plain_4.4,4.4
16,6,100.984,-25.246,plain_4.4,4.4
0,5,-100.984,-37.869,plain_4.4,4.4
1,5,-88.361,-37.869,plain_4.4,4.4
2,5,-75.738,-37.869,guide,
3,5,-63.115,-37.869,Gd,
4,5,-50.492,-37.869,Gd,
5,5,-37.869,-37.869,guide,
6,5,-25.246,-37.869,plain_4.7,4.7
7,5,-12.623,-37.869,plain_5.0,5.0
8,5,0.0,-37.869,guide,
9,5,12.623,-37.869,plain_5.0,5.0
10,5,25.246,-37.869,plain_4.7,4.7
11,5,37.869,-37.869,guide,
12,5,50.492,-37.869,Gd,
13,5,63.115,-37.869,Gd,
14,5,75.738,-37.869,guide,
15,5,88.361,-37.869,plain_4.4,4.4
16,5,100.984,-37.869,plain_4.4,4.4
0,4,-100.984,-50.492,plain_4.4,4.4
1,4,-88.361,-50.492,plain_4.4,4.4
2,4,-75.738,-50.492,plain_4.4,4.4
3,4,-63.115,-50.492,plain_4.7,4.7
4,4,-50.492,-50.492,Gd,
5,4,-37.869,-50.492,Gd,
6,4,-25.246,-50.492,plain_4.7,4.7
7,4,-12.623,-50.492,plain_4.7,4.7
8,4,0.0,-50.492,plain_4.7,4.7
