id,T_mod_K,T_fuel_K,n_rods_in,void,k_eff,k_sigma_pcm,F_assembly
0,550.6,758.4,3,0.0822,1.102859,47.8,1.8610
1,512.6,978.3,10,0.0630,1.079199,45.0,4.1744
2,538.6,615.3,3,0.0968,1.112851,43.2,1.8727
3,376.8,934.5,9,0.1552,1.114361,45.9,3.3969
4,445.4,1183.4,5,0.1696,1.099712,43.7,1.7420
5,342.6,839.2,5,0.0126,1.171273,42.9,1.7906
6,375.4,690.9,6,0.0415,1.164273,48.0,2.1919
7,493.3,752.0,12,0.1640,0.980597,48.7,1.8649
8,438.2,1031.4,2,0.0051,1.176096,46.3,1.7913
9,343.8,635.3,7,0.0429,1.166544,45.3,2.4878
10,516.9,956.7,6,0.0502,1.108992,40.6,2.0151
11,399.8,913.3,9,0.0444,1.138185,41.0,3.4598
12,449.2,676.9,6,0.1132,1.125346,43.3,2.0470
13,416.8,859.1,11,0.1293,1.066844,48.6,4.6626
14,526.4,728.9,0,0.1909,1.128006,46.2,1.2799
15,515.1,818.5,8,0.1512,1.075421,44.1,2.6214
16,328.4,1163.9,5,0.0463,1.160663,41.9,1.9237
17,542.6,1054.1,2,0.1014,1.106830,45.2,1.6494
18,350.0,1086.9,11,0.0187,1.111583,48.8,5.1516
19,297.9,654.6,8,0.0358,1.172264,49.7,3.0426
20,418.9,879.1,6,0.1789,1.109758,47.5,2.1226
21,333.7,805.6,2,0.0906,1.181408,49.5,1.8403
22,355.4,919.1,1,0.1230,1.177251,49.2,1.6601
23,334.2,1165.1,5,0.1094,1.144299,43.7,1.8475
24,523.9,1010.2,0,0.0927,1.146155,42.6,1.2420
25,455.4,1153.8,6,0.0297,1.131754,50.4,2.1668
26,312.7,1118.2,6,0.1778,1.125095,43.4,2.1413
27,430.8,988.6,9,0.0492,1.129587,49.9,3.4715
28,414.0,655.3,10,0.0885,1.117728,46.0,4.4022
29,537.6,1176.3,1,0.1397,1.108797,42.7,1.5288
30,362.0,688.1,11,0.1208,1.092612,47.1,4.8229
31,451.4,792.9,9,0.0765,1.114950,46.0,3.4287
32,527.9,702.6,8,0.0217,1.113202,46.9,2.7571
33,305.7,1068.6,11,0.1844,1.069122,42.3,4.7350
34,365.4,801.6,2,0.1986,1.147614,43.9,1.7484
35,327.1,963.5,3,0.0073,1.190434,51.8,2.0638
36,503.8,709.7,9,0.0867,1.098821,44.4,3.3095
37,531.0,775.0,6,0.1336,1.079573,46.3,1.9946
38,379.4,1029.2,9,0.0743,1.135949,42.5,3.5207
39,311.4,1004.2,4,0.0134,1.181783,47.2,1.4765
40,404.9,971.5,12,0.0104,1.059329,46.9,1.9255
41,403.7,894.1,4,0.1019,1.142725,41.9,1.4054
42,319.0,710.3,5,0.1475,1.150170,42.6,1.8064
43,345.5,631.9,11,0.0778,1.108373,52.5,4.9809
44,393.6,730.6,10,0.0574,1.130792,43.7,4.4637
45,482.0,614.3,8,0.0302,1.130681,46.0,2.8912
46,472.5,608.3,8,0.0474,1.129936,47.8,2.7929
47,495.0,1108.1,12,0.1681,0.972943,43.5,1.7658
48,436.4,895.6,11,0.1959,1.039401,44.7,4.4200
49,426.7,762.9,8,0.1876,1.098857,42.4,2.7299
50,359.1,1199.8,1,0.0347,1.189763,47.5,1.6305
51,462.5,769.8,8,0.0333,1.128959,48.4,2.8874
52,498.7,811.7,3,0.0649,1.131937,48.5,1.9000
53,441.6,984.1,3,0.1427,1.132618,49.9,1.9461
54,422.1,1190.8,6,0.1042,1.123689,43.3,2.1211
55,501.5,864.5,3,0.0958,1.123531,47.0,1.9455
56,371.8,1075.2,1,0.0269,1.188439,47.0,1.7083
57,412.6,673.1,1,0.0374,1.190770,47.9,1.6451
58,389.7,844.2,5,0.1135,1.136866,45.9,1.7599
