id,T_mod_K,T_fuel_K,n_rods_in,void,k_eff,k_sigma_pcm,F_assembly
0,550.6,758.4,4,0.0822,1.085427,62.6,1.3132
1,512.6,978.3,13,0.0630,1.036005,64.9,4.6837
2,538.6,615.3,3,0.0968,1.110234,53.6,2.0836
3,376.8,934.5,13,0.1552,1.055036,58.5,4.6608
4,445.4,1183.4,6,0.1696,1.088631,56.1,2.3175
5,342.6,839.2,6,0.0126,1.165595,57.0,2.5796
6,375.4,690.9,8,0.0415,1.109457,63.3,1.5490
7,493.3,752.0,16,0.1640,0.904797,57.9,2.3180
8,438.2,1031.4,3,0.0051,1.163548,57.1,2.2375
9,343.8,635.3,9,0.0429,1.111891,56.4,2.0386
10,516.9,956.7,7,0.0502,1.090718,58.6,3.2926
11,399.8,913.3,12,0.0444,1.088383,55.3,2.8692
12,449.2,676.9,8,0.1132,1.069661,58.9,1.5467
13,416.8,859.1,15,0.1293,1.004947,68.2,6.1666
14,526.4,728.9,0,0.1909,1.127863,55.5,1.2553
15,515.1,818.5,10,0.1512,1.016576,60.8,2.5396
16,328.4,1163.9,6,0.0463,1.153561,57.6,2.5315
17,542.6,1054.1,3,0.1014,1.091397,57.9,1.9543
18,350.0,1086.9,15,0.0187,1.051414,67.2,6.5646
19,297.9,654.6,10,0.0358,1.118475,65.9,2.5911
20,418.9,879.1,8,0.1789,1.051208,63.4,1.4977
21,333.7,805.6,2,0.0906,1.179063,57.4,1.9134
22,355.4,919.1,1,0.1230,1.175768,63.4,1.6783
23,334.2,1165.1,7,0.1094,1.124531,64.6,3.4361
24,523.9,1010.2,0,0.0927,1.146496,60.3,1.2824
25,455.4,1153.8,9,0.0297,1.074153,64.2,2.1249
26,312.7,1118.2,8,0.1778,1.068424,60.6,1.6851
27,430.8,988.6,11,0.0492,1.080863,57.9,2.8382
28,414.0,655.3,14,0.0885,1.046027,58.8,4.4933
29,537.6,1176.3,1,0.1397,1.107318,60.3,1.6098
30,362.0,688.1,15,0.1208,1.030004,63.3,6.2960
31,451.4,792.9,12,0.0765,1.064040,56.3,2.8647
32,527.9,702.6,10,0.0217,1.055479,56.7,2.5062
33,305.7,1068.6,14,0.1844,1.022257,58.7,4.3024
34,365.4,801.6,2,0.1986,1.145218,58.2,1.8708
35,327.1,963.5,5,0.0073,1.171285,60.6,1.9126
36,503.8,709.7,12,0.0867,1.047979,63.1,3.1459
37,531.0,775.0,8,0.1336,1.022293,54.8,1.5724
38,379.4,1029.2,12,0.0743,1.085654,59.1,2.9119
39,311.4,1004.2,5,0.0134,1.172483,56.5,2.0205
40,404.9,971.5,15,0.0104,1.045081,59.0,6.3619
