nuclide,grams,activity_Bq,half_life_yr
Pu241,8.660604e+03,3.317091e+16,14.33
Cs137,1.004257e+04,3.223434e+16,30.08
Cs134,6.190586e+02,2.959234e+16,2.065
Sr90,4.905934e+03,2.504436e+16,28.79
Eu154,1.560310e+02,1.558347e+15,8.6
Pu238,1.105480e+03,7.005621e+14,87.7
Cm244,9.246767e+01,2.769452e+14,18.1
Pu240,1.612836e+04,1.354819e+14,6561
Pu239,4.786158e+04,1.098662e+14,2.411e+04
Sm151,1.048550e+02,1.020569e+14,90
Am241,5.778367e+02,7.331181e+13,432.6
Tc99,7.067405e+03,4.473104e+12,2.111e+05
Am243,3.553733e+02,2.624723e+12,7370
U234,2.496480e+03,5.748216e+11,2.455e+05
Pu242,2.464857e+03,3.592671e+11,3.75e+05
U236,4.601336e+04,1.101178e+11,2.342e+07
U238,8.800668e+06,1.094707e+11,4.468e+09
Np237,3.467339e+03,9.026005e+10,2.144e+06
U235,1.594852e+05,1.275124e+10,7.04e+08
I129,1.190073e+03,7.772427e+09,1.57e+07
