# Groeneveld 2006 CHF Look-Up Table -- SUBSET (P 12000/14000 kPa, G 300-1000)
# Source: NED 237 (2007) 1909-1922, pp.1919-1920. CHF kW/m2, 8 mm tube.
# Transcribed by build_lut_csv.py -- spot-check vs the paper before final quoting.
P_kPa, G_kgm2s, x_qual, CHF_kWm2
12000, 300, -0.50, 5366
12000, 300, -0.40, 5081
12000, 300, -0.30, 4741
12000, 300, -0.20, 4434
12000, 300, -0.15, 4269
12000, 300, -0.10, 4138
12000, 300, -0.05, 3950
12000, 300, 0.00, 3838
12000, 300, 0.05, 3516
12000, 300, 0.10, 3199
12000, 300, 0.15, 2912
12000, 300, 0.20, 2701
12000, 300, 0.25, 2467
12000, 300, 0.30, 2285
12000, 300, 0.35, 2108
12000, 300, 0.40, 1940
12000, 300, 0.45, 1830
12000, 300, 0.50, 1630
12000, 300, 0.60, 1250
12000, 300, 0.70, 840
12000, 300, 0.80, 500
12000, 300, 0.90, 316
12000, 300, 1.00, 0
12000, 500, -0.50, 5647
12000, 500, -0.40, 5188
12000, 500, -0.30, 4869
12000, 500, -0.20, 4445
12000, 500, -0.15, 4298
12000, 500, -0.10, 4131
12000, 500, -0.05, 3988
12000, 500, 0.00, 3819
12000, 500, 0.05, 3555
12000, 500, 0.10, 3240
12000, 500, 0.15, 2951
12000, 500, 0.20, 2724
12000, 500, 0.25, 2500
12000, 500, 0.30, 2310
12000, 500, 0.35, 2160
12000, 500, 0.40, 1875
12000, 500, 0.45, 1678
12000, 500, 0.50, 1474
12000, 500, 0.60, 1011
12000, 500, 0.70, 423
12000, 500, 0.80, 296
12000, 500, 0.90, 205
12000, 500, 1.00, 0
12000, 750, -0.50, 6233
12000, 750, -0.40, 5596
12000, 750, -0.30, 5072
12000, 750, -0.20, 4528
12000, 750, -0.15, 4310
12000, 750, -0.10, 4067
12000, 750, -0.05, 3904
12000, 750, 0.00, 3659
12000, 750, 0.05, 3418
12000, 750, 0.10, 3067
12000, 750, 0.15, 2773
12000, 750, 0.20, 2526
12000, 750, 0.25, 2277
12000, 750, 0.30, 2039
12000, 750, 0.35, 1798
12000, 750, 0.40, 1396
12000, 750, 0.45, 1180
12000, 750, 0.50, 989
12000, 750, 0.60, 312
12000, 750, 0.70, 251
12000, 750, 0.80, 211
12000, 750, 0.90, 131
12000, 750, 1.00, 0
12000, 1000, -0.50, 7031
12000, 1000, -0.40, 6267
12000, 1000, -0.30, 5500
12000, 1000, -0.20, 4700
12000, 1000, -0.15, 4430
12000, 1000, -0.10, 4100
12000, 1000, -0.05, 3855
12000, 1000, 0.00, 3447
12000, 1000, 0.05, 3243
12000, 1000, 0.10, 2878
12000, 1000, 0.15, 2516
12000, 1000, 0.20, 2291
12000, 1000, 0.25, 1905
12000, 1000, 0.30, 1640
12000, 1000, 0.35, 1420
12000, 1000, 0.40, 1073
12000, 1000, 0.45, 920
12000, 1000, 0.50, 310
12000, 1000, 0.60, 214
12000, 1000, 0.70, 118
12000, 1000, 0.80, 78
12000, 1000, 0.90, 76
12000, 1000, 1.00, 0
14000, 300, -0.50, 4479
14000, 300, -0.40, 4268
14000, 300, -0.30, 4074
14000, 300, -0.20, 3858
14000, 300, -0.15, 3727
14000, 300, -0.10, 3586
14000, 300, -0.05, 3448
14000, 300, 0.00, 3301
14000, 300, 0.05, 2996
14000, 300, 0.10, 2701
14000, 300, 0.15, 2358
14000, 300, 0.20, 2100
14000, 300, 0.25, 1970
14000, 300, 0.30, 1756
14000, 300, 0.35, 1651
14000, 300, 0.40, 1481
14000, 300, 0.45, 1308
14000, 300, 0.50, 1143
14000, 300, 0.60, 842
14000, 300, 0.70, 615
14000, 300, 0.80, 347
14000, 300, 0.90, 217
14000, 300, 1.00, 0
14000, 500, -0.50, 4680
14000, 500, -0.40, 4404
14000, 500, -0.30, 4184
14000, 500, -0.20, 3876
14000, 500, -0.15, 3713
14000, 500, -0.10, 3545
14000, 500, -0.05, 3401
14000, 500, 0.00, 3249
14000, 500, 0.05, 3001
14000, 500, 0.10, 2641
14000, 500, 0.15, 2373
14000, 500, 0.20, 2089
14000, 500, 0.25, 1825
14000, 500, 0.30, 1559
14000, 500, 0.35, 1422
14000, 500, 0.40, 1273
14000, 500, 0.45, 1087
14000, 500, 0.50, 1017
14000, 500, 0.60, 319
14000, 500, 0.70, 298
14000, 500, 0.80, 192
14000, 500, 0.90, 119
14000, 500, 1.00, 0
14000, 750, -0.50, 5155
14000, 750, -0.40, 4929
14000, 750, -0.30, 4487
14000, 750, -0.20, 3917
14000, 750, -0.15, 3666
14000, 750, -0.10, 3417
14000, 750, -0.05, 3241
14000, 750, 0.00, 3056
14000, 750, 0.05, 2841
14000, 750, 0.10, 2505
14000, 750, 0.15, 2177
14000, 750, 0.20, 1849
14000, 750, 0.25, 1591
14000, 750, 0.30, 1332
14000, 750, 0.35, 1131
14000, 750, 0.40, 885
14000, 750, 0.45, 769
14000, 750, 0.50, 502
14000, 750, 0.60, 265
14000, 750, 0.70, 135
14000, 750, 0.80, 79
14000, 750, 0.90, 77
14000, 750, 1.00, 0
14000, 1000, -0.50, 6001
14000, 1000, -0.40, 5588
14000, 1000, -0.30, 4980
14000, 1000, -0.20, 4089
14000, 1000, -0.15, 3670
14000, 1000, -0.10, 3378
14000, 1000, -0.05, 3049
14000, 1000, 0.00, 2693
14000, 1000, 0.05, 2399
14000, 1000, 0.10, 2051
14000, 1000, 0.15, 1731
14000, 1000, 0.20, 1466
14000, 1000, 0.25, 1244
14000, 1000, 0.30, 1017
14000, 1000, 0.35, 854
14000, 1000, 0.40, 745
14000, 1000, 0.45, 649
14000, 1000, 0.50, 295
14000, 1000, 0.60, 224
14000, 1000, 0.70, 102
14000, 1000, 0.80, 67
14000, 1000, 0.90, 49
14000, 1000, 1.00, 0
