burnup_MWd_kg,U234,U235,U236,U238,Np237,Pu238,Pu239,Pu240,Pu241,Pu242,Am241,Am243,Cm244,Kr85,Sr90,Tc99,Cs133,Cs134,Cs137,Nd143,Nd145,Sm149,Sm151,Eu153,Gd155
0.000,2.167448e+18,2.697770e+20,0.000000e+00,1.083071e+22,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.100,2.163620e+18,2.683925e+20,2.433568e+17,1.082994e+22,4.083911e+14,8.757377e+10,2.012822e+17,9.249532e+14,5.310361e+12,4.295697e+09,4.271383e+08,1.139194e+06,6.887768e+02,3.518545e+15,6.790427e+16,1.549723e+16,5.121032e+15,1.299692e+12,7.453127e+16,1.391697e+15,4.096084e+16,3.269335e+15,2.472745e+15,7.199894e+14,2.092893e+11
0.500,2.148290e+18,2.629122e+20,1.210308e+18,1.082675e+22,8.263722e+15,2.421268e+13,2.545996e+18,3.072679e+16,9.031299e+14,3.670686e+12,3.603583e+11,7.391937e+09,2.616448e+07,1.902570e+16,3.379570e+17,2.517191e+17,1.755187e+17,2.689651e+14,3.731632e+17,7.005169e+16,2.315602e+17,2.100358e+16,1.961086e+16,8.398708e+15,3.583206e+12
1.000,2.129068e+18,2.562048e+20,2.391659e+18,1.082274e+22,2.629421e+16,2.091031e+14,5.839212e+18,1.288903e+17,7.619441e+15,6.315592e+13,6.151454e+12,2.786393e+11,2.057600e+09,3.814472e+16,6.711406e+17,6.191463e+17,5.365330e+17,1.847656e+15,7.473004e+17,2.705246e+17,4.682063e+17,2.542749e+16,3.576934e+16,1.983631e+16,9.475831e+12
2.000,2.090515e+18,2.433135e+20,4.653549e+18,1.081466e+22,7.742705e+16,1.473597e+15,1.191000e+19,4.931162e+17,5.927723e+16,1.008379e+15,9.686675e+13,9.335538e+12,1.426273e+11,7.537225e+16,1.320645e+18,1.360111e+18,1.335478e+18,1.017974e+16,1.495577e+18,8.415460e+17,9.345223e+17,2.664058e+16,5.535452e+16,4.600188e+16,2.009388e+13
3.000,2.052901e+18,2.310586e+20,6.793112e+18,1.080651e+22,1.427051e+17,4.326563e+15,1.731507e+19,1.021682e+18,1.821831e+17,4.776768e+15,4.529843e+14,6.900254e+13,1.628606e+12,1.113416e+17,1.949310e+18,2.094821e+18,2.136789e+18,2.565993e+16,2.243224e+18,1.478092e+18,1.391749e+18,2.757960e+16,6.593579e+16,7.705879e+16,2.856162e+13
4.000,2.015586e+18,2.193823e+20,8.821628e+18,1.079824e+22,2.197862e+17,9.123173e+15,2.216734e+19,1.669002e+18,3.853580e+17,1.385363e+16,1.292722e+15,2.778993e+14,8.938408e+12,1.461613e+17,2.559048e+18,2.823248e+18,2.930601e+18,4.814544e+16,2.990427e+18,2.114811e+18,1.840536e+18,2.850839e+16,7.245443e+16,1.131050e+17,3.605163e+13
5.000,1.978514e+18,2.082411e+20,1.074572e+19,1.078985e+22,3.078234e+17,1.620291e+16,2.653981e+19,2.401162e+18,6.664915e+17,3.075393e+16,2.821907e+15,7.903821e+14,3.287252e+13,1.799121e+17,3.151283e+18,3.545588e+18,3.716745e+18,7.737436e+16,3.737187e+18,2.734823e+18,2.281523e+18,2.935955e+16,7.704644e+16,1.539496e+17,4.335686e+13
6.000,1.941643e+18,1.975987e+20,1.257127e+19,1.078137e+22,4.058358e+17,2.582737e+16,3.045929e+19,3.199964e+18,1.018130e+18,5.786095e+16,5.208052e+15,1.823922e+15,9.294597e+13,2.126573e+17,3.727106e+18,4.261813e+18,4.495209e+18,1.131570e+17,4.483493e+18,3.334055e+18,2.714878e+18,3.013243e+16,8.068381e+16,1.993479e+17,5.105662e+13
11.000,1.764322e+18,1.517070e+20,2.024597e+19,1.073851e+22,1.007846e+18,1.194606e+17,4.435959e+19,7.347299e+18,3.757163e+18,4.156943e+17,3.413178e+16,2.553908e+16,2.572547e+15,3.604366e+17,6.344767e+18,7.697418e+18,8.218711e+18,3.801298e+17,8.147180e+18,5.994836e+18,4.744464e+18,3.256666e+16,9.471142e+16,4.782950e+17,1.054296e+14
16.000,1.597111e+18,1.149761e+20,2.607872e+19,1.069292e+22,1.733808e+18,3.069997e+17,5.282114e+19,1.171880e+19,6.782587e+18,1.227913e+18,8.892689e+16,1.131606e+17,1.805088e+16,4.888440e+17,8.651356e+18,1.096527e+19,1.172481e+19,7.814190e+17,1.178269e+19,8.169400e+18,6.614442e+18,3.390664e+16,1.062450e+17,8.200332e+17,1.838958e+14
