nuclide,grams,activity_Bq,half_life_yr
Cs134,8.163254e+02,3.902212e+16,2.065
Pu241,7.697401e+03,2.948175e+16,14.33
Cs137,8.646496e+03,2.775327e+16,30.08
Sr90,3.909273e+03,1.995649e+16,28.79
Eu154,1.703051e+02,1.700908e+15,8.6
Pu238,1.507263e+03,9.551792e+14,87.7
Cm244,2.694031e+02,8.068756e+14,18.1
Pu240,1.362347e+04,1.144402e+14,6561
Sm151,6.950119e+01,6.764648e+13,90
Pu239,2.893502e+04,6.642033e+13,2.411e+04
Am241,3.714659e+02,4.712895e+13,432.6
Am243,7.101287e+02,5.244882e+12,7370
Tc99,5.754041e+03,3.641849e+12,2.111e+05
Pu242,3.570808e+03,5.204658e+11,3.75e+05
U234,1.179073e+03,2.714848e+11,2.455e+05
Np237,3.335513e+03,8.682841e+10,2.144e+06
U236,3.316694e+04,7.937413e+10,2.342e+07
U238,4.891506e+06,6.084499e+10,4.468e+09
I129,1.061130e+03,6.930293e+09,1.57e+07
U235,5.493016e+04,4.391802e+09,7.04e+08
