cooling_yr,rigorous_decay_heat_W,rigorous_activity_Bq,curated_decay_heat_W,curated_activity_Bq
0,7.746739e+06,2.778473e+19,1.822239e+04,1.199821e+17
1,5.092969e+04,4.477171e+17,1.524422e+04,1.061863e+17
3,1.922212e+04,2.014167e+17,1.144774e+04,8.751174e+16
5,1.212267e+04,1.411526e+17,9.333417e+03,7.588296e+16
10,8.318252e+03,1.017797e+17,7.003220e+03,5.975522e+16
30,5.444432e+03,5.615359e+16,4.247214e+03,3.195334e+16
50,3.930476e+03,3.385735e+16,2.820466e+03,1.845418e+16
100,2.087154e+03,1.091586e+16,1.188373e+03,5.513171e+15
300,8.399988e+02,1.105774e+15,2.647824e+02,3.537286e+14
1000,3.414911e+02,4.663840e+14,1.545700e+02,1.868142e+14
10000,8.075477e+01,1.563093e+14,7.795318e+01,9.619841e+13
100000,7.082122e+00,2.205424e+13,3.858978e+00,7.246013e+12
