cooling_yr,activity_Bq,decay_heat_W,radiotoxicity_Sv
0,1.230069e+17,1.654765e+04,2.112599e+09
1,1.115351e+17,1.422856e+04,1.915904e+09
3,9.546243e+16,1.123286e+04,1.649697e+09
5,8.486778e+16,9.518544e+03,1.483473e+09
10,6.871921e+16,7.496960e+03,1.249041e+09
30,3.726645e+16,4.643308e+03,8.007963e+08
50,2.158334e+16,3.078535e+03,5.454944e+08
100,6.421592e+15,1.271523e+03,2.540824e+08
300,4.196990e+14,3.101726e+02,8.573626e+07
1000,2.518338e+14,2.086559e+02,6.079224e+07
10000,1.361148e+14,1.107802e+02,3.272118e+07
100000,1.048267e+13,6.061078e+00,1.666695e+06
