E_eV,downcomer_n,downcomer_g,cavity_n,cavity_g,outer_concrete_n,outer_concrete_g
1.2226e-03,4.4845e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.8275e-03,9.5499e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
2.7317e-03,2.0966e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
4.0834e-03,4.5221e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
6.1037e-03,9.6778e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
9.1237e-03,2.0019e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.3638e-02,4.0646e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
2.0386e-02,7.9307e-02,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
3.0472e-02,1.4323e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
4.5549e-02,2.3299e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
6.8085e-02,3.1938e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.0177e-01,3.5440e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.5213e-01,2.8109e-01,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
2.2739e-01,1.4202e-01,0.0000e+00,2.8033e-08,0.0000e+00,0.0000e+00,0.0000e+00
3.3990e-01,4.3133e-02,0.0000e+00,2.1280e-07,0.0000e+00,0.0000e+00,0.0000e+00
5.0808e-01,1.5091e-02,0.0000e+00,1.1834e-07,0.0000e+00,0.0000e+00,0.0000e+00
7.5947e-01,1.1326e-02,0.0000e+00,9.7157e-08,0.0000e+00,0.0000e+00,0.0000e+00
1.1352e+00,1.0518e-02,0.0000e+00,2.6096e-07,0.0000e+00,0.0000e+00,0.0000e+00
1.6969e+00,1.0367e-02,0.0000e+00,2.2312e-07,0.0000e+00,0.0000e+00,0.0000e+00
2.5365e+00,1.0074e-02,0.0000e+00,6.6161e-07,0.0000e+00,0.0000e+00,0.0000e+00
3.7915e+00,9.6175e-03,0.0000e+00,5.4541e-07,0.0000e+00,0.0000e+00,0.0000e+00
5.6675e+00,9.7167e-03,0.0000e+00,1.7469e-06,0.0000e+00,0.0000e+00,0.0000e+00
8.4716e+00,9.6545e-03,0.0000e+00,1.1254e-06,0.0000e+00,0.0000e+00,0.0000e+00
1.2663e+01,9.3634e-03,0.0000e+00,1.3509e-06,0.0000e+00,0.0000e+00,0.0000e+00
1.8929e+01,9.3426e-03,0.0000e+00,2.6088e-06,0.0000e+00,0.0000e+00,0.0000e+00
2.8294e+01,9.3038e-03,0.0000e+00,3.3079e-06,0.0000e+00,0.0000e+00,0.0000e+00
4.2293e+01,9.2839e-03,0.0000e+00,2.9035e-06,0.0000e+00,0.0000e+00,0.0000e+00
6.3219e+01,9.2596e-03,0.0000e+00,4.2647e-06,0.0000e+00,0.0000e+00,0.0000e+00
