r_cm,dose_n_uSv_h,dose_g_uSv_h,dose_total_uSv_h
1.319,7.9973e+13,3.2992e+12,8.3273e+13
3.956,7.9456e+13,3.3501e+12,8.2806e+13
6.594,7.6456e+13,3.6079e+12,8.0064e+13
9.231,8.1543e+13,3.3956e+12,8.4938e+13
11.869,8.4725e+13,3.3817e+12,8.8107e+13
14.506,8.3197e+13,3.4044e+12,8.6601e+13
17.144,8.1147e+13,3.3208e+12,8.4468e+13
19.781,8.1377e+13,3.3095e+12,8.4686e+13
22.419,8.0430e+13,3.3598e+12,8.3790e+13
25.056,7.7991e+13,3.3860e+12,8.1377e+13
27.694,7.8925e+13,3.3526e+12,8.2278e+13
30.331,8.1399e+13,3.3223e+12,8.4722e+13
32.969,8.2334e+13,3.2829e+12,8.5617e+13
35.606,8.1092e+13,3.2892e+12,8.4381e+13
38.244,8.0779e+13,3.2310e+12,8.4009e+13
40.881,7.9550e+13,3.1995e+12,8.2749e+13
43.519,7.7027e+13,3.1368e+12,8.0164e+13
46.156,7.4512e+13,3.0055e+12,7.7518e+13
48.794,7.1401e+13,2.9028e+12,7.4304e+13
51.431,6.8022e+13,2.7215e+12,7.0743e+13
54.069,6.3180e+13,2.5534e+12,6.5734e+13
56.706,5.8893e+13,2.3654e+12,6.1258e+13
59.344,5.5176e+13,2.1761e+12,5.7353e+13
61.981,4.9844e+13,2.0078e+12,5.1852e+13
64.619,4.3290e+13,1.8270e+12,4.5117e+13
67.256,3.6537e+13,1.6220e+12,3.8159e+13
69.894,2.9896e+13,1.4271e+12,3.1323e+13
72.531,2.4256e+13,1.2444e+12,2.5501e+13
75.169,1.8341e+13,1.0770e+12,1.9418e+13
77.806,1.2070e+13,8.8386e+11,1.2953e+13
80.444,8.0433e+12,7.1415e+11,8.7575e+12
83.081,4.4630e+12,4.2378e+11,4.8868e+12
85.719,2.7022e+12,3.6042e+11,3.0627e+12
88.356,1.8254e+12,3.2288e+11,2.1483e+12
90.994,1.2170e+12,2.8983e+11,1.5068e+12
93.631,8.3293e+11,2.6042e+11,1.0934e+12
96.269,5.8049e+11,2.2908e+11,8.0958e+11
98.906,4.0521e+11,2.0141e+11,6.0662e+11
101.544,2.8880e+11,1.7778e+11,4.6658e+11
104.181,2.0721e+11,1.5852e+11,3.6573e+11
106.819,1.4969e+11,1.4041e+11,2.9010e+11
109.456,1.0814e+11,1.2547e+11,2.3361e+11
112.094,7.8625e+10,1.1109e+11,1.8971e+11
114.731,6.0327e+10,9.8939e+10,1.5927e+11
117.369,4.5445e+10,8.7470e+10,1.3292e+11
120.006,3.4443e+10,7.8150e+10,1.1259e+11
122.644,2.4456e+10,6.9853e+10,9.4310e+10
125.281,1.7956e+10,6.2130e+10,8.0087e+10
127.919,1.2884e+10,5.5078e+10,6.7962e+10
130.556,1.0132e+10,4.9296e+10,5.9428e+10
133.194,7.0336e+09,4.4425e+10,5.1459e+10
135.831,5.2582e+09,3.9486e+10,4.4744e+10
138.469,5.7864e+09,3.5521e+10,4.1308e+10
141.106,4.9528e+09,2.3722e+10,2.8675e+10
143.744,2.5581e+09,1.1532e+10,1.4090e+10
146.381,1.7666e+09,5.8515e+09,7.6181e+09
149.019,1.3662e+09,2.8942e+09,4.2604e+09
151.656,1.0979e+09,1.4219e+09,2.5197e+09
154.294,9.6060e+08,7.1695e+08,1.6775e+09
156.931,7.1299e+08,4.0488e+08,1.1179e+09
159.569,6.0131e+08,3.8105e+08,9.8236e+08
162.206,5.7484e+08,3.7720e+08,9.5204e+08
164.844,5.5374e+08,3.6402e+08,9.1776e+08
167.481,5.5916e+08,3.6043e+08,9.1959e+08
170.119,5.7408e+08,3.5633e+08,9.3041e+08
172.756,5.6346e+08,2.8898e+08,8.5243e+08
175.394,4.9398e+08,1.8701e+08,6.8099e+08
178.031,1.4409e+08,1.3226e+08,2.7635e+08
180.669,3.3748e+07,9.0001e+07,1.2375e+08
183.306,1.5105e+07,8.4686e+07,9.9791e+07
185.944,8.7466e+06,7.7286e+07,8.6032e+07
188.581,7.9078e+06,6.1308e+07,6.9216e+07
191.219,7.0073e+06,4.3138e+07,5.0145e+07
193.856,6.5835e+06,3.4585e+07,4.1168e+07
196.494,6.1531e+06,2.8661e+07,3.4814e+07
199.131,6.0501e+06,2.9530e+07,3.5580e+07
201.769,5.7976e+06,1.6165e+07,2.1962e+07
204.406,3.9535e+04,3.1038e+06,3.1433e+06
207.044,4.8127e+04,1.7533e+06,1.8015e+06
209.681,9.0710e+03,9.1976e+05,9.2883e+05
212.319,0.0000e+00,9.8439e+05,9.8439e+05
214.956,0.0000e+00,5.0641e+05,5.0641e+05
217.594,0.0000e+00,3.0740e+05,3.0740e+05
220.231,0.0000e+00,1.1505e+05,1.1505e+05
222.869,0.0000e+00,2.9485e+04,2.9485e+04
225.506,0.0000e+00,2.9326e+04,2.9326e+04
228.144,0.0000e+00,1.0690e+04,1.0690e+04
230.781,0.0000e+00,6.4002e+03,6.4002e+03
233.419,0.0000e+00,1.5697e+03,1.5697e+03
236.056,0.0000e+00,1.1155e+03,1.1155e+03
238.694,0.0000e+00,1.1018e+03,1.1018e+03
241.331,0.0000e+00,1.0333e+03,1.0333e+03
243.969,0.0000e+00,8.9660e+02,8.9660e+02
246.606,0.0000e+00,6.7677e+02,6.7677e+02
249.244,0.0000e+00,1.3189e+03,1.3189e+03
251.881,0.0000e+00,4.2003e+02,4.2003e+02
254.519,0.0000e+00,3.2594e+02,3.2594e+02
