stage,label,enrich,gd_wt,n_gd,er_wt,n_er,k_bol,bol_excess_pcm,peak_excess_pcm,swing_pcm,fresh_B1_efpd,equilibrium_cycle_months,discharge_burnup_GWd_t,crossed,score,status
1,e3.8-3.6-3.4_Gd6_Er0x0,"(3.8, 3.6, 3.4)",6,32,0.0,0,0.99797,-203.0,,,,,,,,ok
1,e3.8-3.6-3.4_Gd6_Er1x48,"(3.8, 3.6, 3.4)",6,32,1.0,48,0.94894,-5381.0,,,,,,,,ok
1,e3.6-3.4-3.2_Gd5_Er0.5x48,"(3.6, 3.4, 3.2)",5,32,0.5,48,0.95628,-4571.0,,,,,,,,ok
1,e3.6-3.4-3.2_Gd5_Er1x48,"(3.6, 3.4, 3.2)",5,32,1.0,48,0.93899,-6497.0,,,,,,,,ok
1,e3.6-3.4-3.2_Gd7_Er0.5x48,"(3.6, 3.4, 3.2)",7,32,0.5,48,0.94644,-5659.0,,,,,,,,ok
1,e3.6-3.4-3.2_Gd7_Er1x48,"(3.6, 3.4, 3.2)",7,32,1.0,48,0.93034,-7488.0,,,,,,,,ok
1,e3.6-3.4-3.2_Gd7_Er1.5x48,"(3.6, 3.4, 3.2)",7,32,1.5,48,0.9137,-9446.0,,,,,,,,ok
1,e3.6-3.4-3.2_Gd6_Er1x64,"(3.6, 3.4, 3.2)",6,32,1.0,64,0.92278,-8368.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd5_Er0.5x48,"(4.0, 3.7, 3.4)",5,32,0.5,48,0.9806,-1979.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd5_Er1x48,"(4.0, 3.7, 3.4)",5,32,1.0,48,0.96359,-3778.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd7_Er0.5x48,"(4.0, 3.7, 3.4)",7,32,0.5,48,0.96732,-3378.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd7_Er1x48,"(4.0, 3.7, 3.4)",7,32,1.0,48,0.94939,-5331.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd7_Er1.5x48,"(4.0, 3.7, 3.4)",7,32,1.5,48,0.93804,-6605.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd6_Er1x64,"(4.0, 3.7, 3.4)",6,32,1.0,64,0.94459,-5866.0,,,,,,,,ok
1,e4.4-4.1-3.8_Gd5_Er0.5x48,"(4.4, 4.1, 3.8)",5,32,0.5,48,1.00908,899.0,,,,,,,,ok
1,e4.4-4.1-3.8_Gd5_Er1x48,"(4.4, 4.1, 3.8)",5,32,1.0,48,0.98889,-1123.0,,,,,,,,ok
1,e4.4-4.1-3.8_Gd7_Er0.5x48,"(4.4, 4.1, 3.8)",7,32,0.5,48,0.99727,-273.0,,,,,,,,ok
1,e4.4-4.1-3.8_Gd7_Er1x48,"(4.4, 4.1, 3.8)",7,32,1.0,48,0.98039,-2000.0,,,,,,,,ok
1,e4.4-4.1-3.8_Gd7_Er1.5x48,"(4.4, 4.1, 3.8)",7,32,1.5,48,0.96642,-3474.0,,,,,,,,ok
1,e4.4-4.1-3.8_Gd6_Er1x64,"(4.4, 4.1, 3.8)",6,32,1.0,64,0.97494,-2570.0,,,,,,,,ok
2,e4.4-4.1-3.8_Gd5_Er0.5x48,"(4.4, 4.1, 3.8)",5,32,0.5,48,1.0081,804.0,6098.0,18939.0,3.0,0.0,0.1,True,-77.59,ok
1,e4.0-3.8-3.6_Gd6_Er0x0,"(4.0, 3.8, 3.6)",6,16,0.0,0,1.1113,10015.0,,,,,,,,ok
1,e4.0-3.8-3.6_Gd6_Er0.5x16,"(4.0, 3.8, 3.6)",6,24,0.5,16,1.04287,4111.0,,,,,,,,ok
1,e4.0-3.9-3.8_Gd6_Er0x0,"(4.0, 3.9, 3.8)",6,16,0.0,0,1.12272,10931.0,,,,,,,,ok
1,e4.0-3.9-3.8_Gd6_Er0x0,"(4.0, 3.9, 3.8)",6,24,0.0,0,1.05842,5520.0,,,,,,,,ok
1,e4.0-3.9-3.8_Gd8_Er0x0,"(4.0, 3.9, 3.8)",8,16,0.0,0,1.11716,10488.0,,,,,,,,ok
1,e4.0-3.9-3.8_Gd6_Er0.5x16,"(4.0, 3.9, 3.8)",6,24,0.5,16,1.04908,4678.0,,,,,,,,ok
1,e4.0-3.9-3.8_Gd8_Er0.5x16,"(4.0, 3.9, 3.8)",8,24,0.5,16,1.04348,4167.0,,,,,,,,ok
1,e4.0-3.9-3.8_Gd6_Er0.5x16,"(4.0, 3.9, 3.8)",6,16,0.5,16,1.11702,10476.0,,,,,,,,ok
1,e4.0-3.8-3.6_Gd6_Er0x0,"(4.0, 3.8, 3.6)",6,16,0.0,0,1.11474,10293.0,,,,,,,,ok
1,e4.0-3.8-3.6_Gd6_Er0x0,"(4.0, 3.8, 3.6)",6,24,0.0,0,1.05095,4848.0,,,,,,,,ok
1,e4.0-3.8-3.6_Gd8_Er0x0,"(4.0, 3.8, 3.6)",8,16,0.0,0,1.10903,9831.0,,,,,,,,ok
1,e4.0-3.8-3.6_Gd6_Er0.5x16,"(4.0, 3.8, 3.6)",6,24,0.5,16,1.03994,3840.0,,,,,,,,ok
1,e4.0-3.8-3.6_Gd8_Er0.5x16,"(4.0, 3.8, 3.6)",8,24,0.5,16,1.03195,3096.0,,,,,,,,ok
1,e4.0-3.8-3.6_Gd6_Er0.5x16,"(4.0, 3.8, 3.6)",6,16,0.5,16,1.10473,9480.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd6_Er0x0,"(4.0, 3.7, 3.4)",6,16,0.0,0,1.10626,9606.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd6_Er0x0,"(4.0, 3.7, 3.4)",6,24,0.0,0,1.03475,3358.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd8_Er0x0,"(4.0, 3.7, 3.4)",8,16,0.0,0,1.09528,8699.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd6_Er0.5x16,"(4.0, 3.7, 3.4)",6,24,0.5,16,1.03002,2915.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd8_Er0.5x16,"(4.0, 3.7, 3.4)",8,24,0.5,16,1.02371,2316.0,,,,,,,,ok
1,e4.0-3.7-3.4_Gd6_Er0.5x16,"(4.0, 3.7, 3.4)",6,16,0.5,16,1.09743,8878.0,,,,,,,,ok
1,e5.0-4.7-4.4_Gd8_Er0.5x16,"(4.95, 4.7, 4.4)",8,28,0.5,16,1.06556,6152.0,,,,,,,,ok
1,e5.0-4.7-4.4_Gd8_Er0.5x16,"(4.95, 4.7, 4.4)",8,36,0.5,16,1.00677,672.0,,,,,,,,ok
1,e5.0-4.7-4.4_Gd8_Er0.5x16,"(4.95, 4.7, 4.4)",8,28,0.5,16,1.06556,6152.0,,,,,,,,ok
1,e5.0-4.7-4.4_Gd8_Er0.5x16,"(4.95, 4.7, 4.4)",8,36,0.5,16,1.00677,672.0,,,,,,,,ok
