E_eV,downcomer_n,downcomer_g,cavity_n,cavity_g,outer_concrete_n,outer_concrete_g
1.2226e-03,7.6946e-05,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.8275e-03,1.7030e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
2.7317e-03,3.7530e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
4.0834e-03,8.1736e-04,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
6.1037e-03,1.7521e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
9.1237e-03,3.6661e-03,0.0000e+00,5.8906e-09,0.0000e+00,0.0000e+00,0.0000e+00
1.3638e-02,7.4856e-03,0.0000e+00,9.7842e-09,0.0000e+00,0.0000e+00,0.0000e+00
2.0386e-02,1.4532e-02,0.0000e+00,7.4454e-09,0.0000e+00,0.0000e+00,0.0000e+00
3.0472e-02,2.6323e-02,0.0000e+00,2.0107e-08,0.0000e+00,0.0000e+00,0.0000e+00
4.5549e-02,4.3260e-02,0.0000e+00,1.7032e-08,0.0000e+00,0.0000e+00,0.0000e+00
6.8085e-02,6.1218e-02,0.0000e+00,2.5940e-08,0.0000e+00,0.0000e+00,0.0000e+00
1.0177e-01,6.9306e-02,0.0000e+00,2.0578e-08,0.0000e+00,0.0000e+00,0.0000e+00
1.5213e-01,5.7034e-02,0.0000e+00,4.0444e-08,0.0000e+00,0.0000e+00,0.0000e+00
2.2739e-01,2.9954e-02,0.0000e+00,9.5675e-08,0.0000e+00,0.0000e+00,0.0000e+00
3.3990e-01,9.1973e-03,0.0000e+00,1.2922e-07,0.0000e+00,0.0000e+00,0.0000e+00
5.0808e-01,2.6358e-03,0.0000e+00,2.3085e-07,0.0000e+00,0.0000e+00,0.0000e+00
7.5947e-01,1.7919e-03,0.0000e+00,3.5983e-07,0.0000e+00,0.0000e+00,0.0000e+00
1.1352e+00,1.6772e-03,0.0000e+00,4.6928e-07,0.0000e+00,0.0000e+00,0.0000e+00
1.6969e+00,1.6143e-03,0.0000e+00,6.1845e-07,0.0000e+00,0.0000e+00,0.0000e+00
2.5365e+00,1.5709e-03,0.0000e+00,1.6437e-06,0.0000e+00,0.0000e+00,0.0000e+00
3.7915e+00,1.5432e-03,0.0000e+00,1.3196e-06,0.0000e+00,0.0000e+00,0.0000e+00
5.6675e+00,1.5341e-03,0.0000e+00,1.3922e-06,0.0000e+00,0.0000e+00,0.0000e+00
8.4716e+00,1.5112e-03,0.0000e+00,1.2026e-06,0.0000e+00,0.0000e+00,0.0000e+00
1.2663e+01,1.4859e-03,0.0000e+00,1.2968e-06,0.0000e+00,0.0000e+00,0.0000e+00
1.8929e+01,1.4925e-03,0.0000e+00,1.5340e-06,0.0000e+00,0.0000e+00,0.0000e+00
2.8294e+01,1.4864e-03,0.0000e+00,1.4507e-06,0.0000e+00,0.0000e+00,0.0000e+00
4.2293e+01,1.4747e-03,0.0000e+00,1.5679e-06,0.0000e+00,0.0000e+00,0.0000e+00
6.3219e+01,1.4633e-03,0.0000e+00,2.0862e-06,0.0000e+00,0.0000e+00,0.0000e+00
9.4498e+01,1.4589e-03,0.0000e+00,2.0172e-06,0.0000e+00,0.0000e+00,0.0000e+00
1.4125e+02,1.4585e-03,0.0000e+00,2.3770e-06,0.0000e+00,0.0000e+00,0.0000e+00
2.1114e+02,1.4482e-03,0.0000e+00,2.0540e-06,0.0000e+00,0.0000e+00,0.0000e+00
3.1561e+02,1.4145e-03,0.0000e+00,1.1157e-06,0.0000e+00,0.0000e+00,0.0000e+00
4.7177e+02,1.4319e-03,0.0000e+00,2.1213e-06,0.0000e+00,0.0000e+00,0.0000e+00
7.0519e+02,1.4379e-03,0.0000e+00,2.1717e-06,0.0000e+00,0.0000e+00,0.0000e+00
1.0541e+03,1.4272e-03,2.7105e-07,2.4719e-06,7.6107e-11,0.0000e+00,0.0000e+00
1.5756e+03,1.4250e-03,9.8101e-07,3.1978e-06,5.4289e-09,0.0000e+00,0.0000e+00
2.3552e+03,1.4111e-03,3.1266e-06,2.3410e-06,1.1122e-09,0.0000e+00,0.0000e+00
3.5205e+03,1.4276e-03,9.6633e-06,3.1833e-06,4.1619e-09,0.0000e+00,0.0000e+00
5.2624e+03,1.4207e-03,3.3560e-05,3.0412e-06,1.7141e-07,0.0000e+00,0.0000e+00
7.8662e+03,1.4352e-03,1.0476e-04,1.9178e-06,6.4546e-08,0.0000e+00,0.0000e+00
1.1758e+04,1.4913e-03,3.3492e-04,1.4698e-05,1.8422e-08,0.0000e+00,0.0000e+00
1.7576e+04,1.5303e-03,1.2823e-03,2.3929e-05,7.3550e-08,0.0000e+00,0.0000e+00
2.6272e+04,1.6033e-03,5.7994e-02,1.4376e-05,4.0684e-06,0.0000e+00,0.0000e+00
3.9271e+04,1.6892e-03,5.9180e-01,8.7022e-06,5.8037e-07,0.0000e+00,0.0000e+00
5.8701e+04,1.8539e-03,1.1377e+00,7.6741e-06,5.6084e-06,0.0000e+00,0.0000e+00
8.7745e+04,2.0555e-03,1.1995e+00,1.4344e-05,1.0124e-04,0.0000e+00,0.0000e+00
1.3116e+05,2.3717e-03,1.0831e+00,2.1849e-05,3.9869e-04,0.0000e+00,1.8889e-12
1.9605e+05,2.7871e-03,9.2038e-01,1.8368e-05,6.4835e-04,0.0000e+00,1.0695e-14
2.9306e+05,3.4992e-03,7.5454e-01,2.9930e-05,6.5774e-04,0.0000e+00,0.0000e+00
4.3805e+05,3.6479e-03,6.5319e-01,2.4118e-05,6.4411e-04,0.0000e+00,0.0000e+00
6.5479e+05,5.2508e-03,5.1512e-01,2.9601e-05,4.5891e-04,0.0000e+00,1.0293e-11
9.7876e+05,5.3887e-03,4.7942e-01,1.5207e-05,4.7231e-04,0.0000e+00,9.9470e-13
1.4630e+06,6.5783e-03,4.5555e-01,8.1053e-06,4.7824e-04,0.0000e+00,0.0000e+00
2.1869e+06,7.8759e-03,6.0294e-01,3.9202e-06,4.4625e-04,0.0000e+00,0.0000e+00
3.2689e+06,6.0828e-03,1.9056e-01,1.7726e-06,2.8066e-04,0.0000e+00,0.0000e+00
4.8863e+06,5.1087e-03,8.6129e-02,5.3991e-06,1.3263e-04,0.0000e+00,0.0000e+00
7.3040e+06,2.4424e-03,6.1304e-02,9.2966e-07,9.4685e-05,0.0000e+00,0.0000e+00
1.0918e+07,3.9741e-04,2.6965e-03,2.0476e-07,2.0011e-06,0.0000e+00,0.0000e+00
1.6320e+07,2.2721e-05,0.0000e+00,9.7485e-09,0.0000e+00,0.0000e+00,0.0000e+00
