r_cm,dose_n_uSv_h,dose_g_uSv_h,dose_total_uSv_h
1.319,1.2554e+14,4.7676e+12,1.3030e+14
3.956,1.1876e+14,4.7172e+12,1.2348e+14
6.594,1.1513e+14,5.0617e+12,1.2019e+14
9.231,1.2850e+14,4.7842e+12,1.3328e+14
11.869,1.3442e+14,4.7515e+12,1.3917e+14
14.506,1.2908e+14,4.8356e+12,1.3392e+14
17.144,1.2586e+14,4.7886e+12,1.3065e+14
19.781,1.2513e+14,4.6920e+12,1.2982e+14
22.419,1.2047e+14,4.6240e+12,1.2510e+14
25.056,1.1572e+14,4.5648e+12,1.2028e+14
27.694,1.1382e+14,4.4777e+12,1.1830e+14
30.331,1.1594e+14,4.2906e+12,1.2023e+14
32.969,1.1488e+14,4.1549e+12,1.1903e+14
35.606,1.1009e+14,4.0173e+12,1.1411e+14
38.244,1.0452e+14,3.8108e+12,1.0833e+14
40.881,9.8302e+13,3.5932e+12,1.0190e+14
43.519,9.0620e+13,3.3767e+12,9.3996e+13
46.156,8.3387e+13,3.1286e+12,8.6515e+13
48.794,7.3770e+13,2.8866e+12,7.6656e+13
51.431,6.4549e+13,2.6217e+12,6.7171e+13
54.069,5.2779e+13,2.3480e+12,5.5127e+13
56.706,3.7574e+13,1.9793e+12,3.9554e+13
59.344,2.5585e+13,1.7035e+12,2.7288e+13
61.981,1.6300e+13,1.4650e+12,1.7765e+13
64.619,1.0204e+13,1.2679e+12,1.1472e+13
67.256,6.8272e+12,1.1159e+12,7.9431e+12
69.894,4.6479e+12,9.8275e+11,5.6306e+12
72.531,3.2103e+12,8.6205e+11,4.0724e+12
75.169,2.2633e+12,7.5654e+11,3.0198e+12
77.806,1.6222e+12,6.6516e+11,2.2873e+12
80.444,1.2255e+12,5.0851e+11,1.7340e+12
83.081,7.5203e+11,2.6518e+11,1.0172e+12
85.719,4.9589e+11,2.2635e+11,7.2224e+11
88.356,3.4873e+11,2.0153e+11,5.5026e+11
90.994,2.5055e+11,1.7984e+11,4.3039e+11
93.631,1.8240e+11,1.6037e+11,3.4277e+11
96.269,1.3385e+11,1.4308e+11,2.7693e+11
98.906,9.7586e+10,1.2789e+11,2.2548e+11
101.544,7.2020e+10,1.1448e+11,1.8650e+11
104.181,5.3710e+10,1.0246e+11,1.5617e+11
106.819,4.0462e+10,9.1730e+10,1.3219e+11
109.456,3.0524e+10,8.2394e+10,1.1292e+11
112.094,2.2987e+10,7.3927e+10,9.6914e+10
114.731,1.7421e+10,6.6288e+10,8.3709e+10
117.369,1.3282e+10,5.9593e+10,7.2875e+10
120.006,1.0089e+10,5.3531e+10,6.3620e+10
122.644,7.6110e+09,4.8145e+10,5.5757e+10
125.281,5.8137e+09,4.3276e+10,4.9090e+10
127.919,4.4113e+09,3.9009e+10,4.3420e+10
