cooling_yr,rigorous_decay_heat_W,rigorous_activity_Bq,curated_decay_heat_W,curated_activity_Bq
0,7.972775e+06,2.788784e+19,4.438511e+05,4.716791e+18
1,4.980919e+04,4.756129e+17,1.951929e+04,2.849207e+17
3,1.952664e+04,2.287979e+17,8.439142e+03,1.490692e+17
5,1.295378e+04,1.675473e+17,5.557902e+03,1.095706e+17
10,9.423585e+03,1.242747e+17,3.324552e+03,7.732317e+16
30,6.288777e+03,6.906642e+16,1.902108e+03,3.938589e+16
50,4.539061e+03,4.169631e+16,1.369650e+03,2.265966e+16
100,2.391911e+03,1.339798e+16,7.695064e+02,6.730269e+15
300,9.967738e+02,1.354505e+15,3.211658e+02,4.426455e+14
1000,4.318929e+02,6.175446e+14,2.147542e+02,2.600315e+14
10000,1.157330e+02,2.313277e+14,1.136731e+02,1.406535e+14
100000,1.042334e+01,2.603138e+13,6.253501e+00,1.175304e+13
