nuclide,grams,activity_Bq,half_life_yr
Np239,2.612280e+02,2.240879e+18,0.00645
Xe133,3.857698e+01,2.672018e+17,0.01437
Mo99,1.363469e+01,2.423986e+17,0.007522
Nb95,1.529536e+02,2.225186e+17,0.0958
Zr95,2.791861e+02,2.219876e+17,0.1753
Ce141,2.060105e+02,2.173336e+17,0.08898
Ru103,1.636111e+02,1.955946e+17,0.1075
Pr144,6.818847e-02,1.907662e+17,3.285e-05
Ce144,1.603607e+03,1.889631e+17,0.78
Sr89,1.204411e+02,1.295202e+17,0.1383
I131,2.778366e+01,1.277716e+17,0.02197
Nd147,2.861976e+01,8.571857e+16,0.03006
Rh106,6.414981e-04,8.484349e+16,9.443e-07
Ru106,6.460337e+02,7.926317e+16,1.018
Pm147,1.425506e+03,4.892852e+16,2.623
Pu241,9.022684e+03,3.456117e+16,14.32
Cs137,1.048505e+04,3.357626e+16,30.17
Cs134,6.635981e+02,3.174274e+16,2.065
Y90,1.306846e+00,2.631058e+16,0.007307
Sr90,5.075868e+03,2.593779e+16,28.79
Cm242,1.071621e+02,1.313792e+16,0.4457
Kr85,2.437865e+02,3.532108e+15,10.75
Eu154,1.675345e+02,1.675470e+15,8.593
Eu155,5.839315e+01,1.048960e+15,4.753
Pu238,1.243385e+03,7.874304e+14,87.74
Cm244,1.152588e+02,3.449304e+14,18.11
Pu240,1.649962e+04,1.385717e+14,6561
Pu239,4.906758e+04,1.126111e+14,2.411e+04
Sm151,1.105428e+02,1.002950e+14,96.6
Am241,6.180154e+02,7.837177e+13,432.7
Tc99,7.329406e+03,4.643150e+12,2.111e+05
Cm243,2.391041e+00,4.471497e+12,29.1
Am243,4.136854e+02,3.054651e+12,7370
Eu152,4.554394e-01,2.928663e+12,13.54
Zr93,6.784016e+03,6.312558e+11,1.53e+06
U234,2.595252e+03,5.974620e+11,2.455e+05
Pu242,2.707660e+03,3.957200e+11,3.739e+05
Cs135,6.391262e+03,2.724501e+11,2.3e+06
U236,4.788817e+04,1.145803e+11,2.342e+07
U238,8.776315e+06,1.091448e+11,4.468e+09
Np237,3.706897e+03,9.647575e+10,2.144e+06
Sn126,1.458229e+02,6.660551e+10,2.3e+05
Cm245,5.953658e+00,3.780482e+10,8500
Se79,4.219117e+01,2.162515e+10,3.27e+05
U235,1.696348e+05,1.356426e+10,7.038e+08
I129,1.242706e+03,8.122474e+09,1.57e+07
Cm246,4.356323e-01,4.950769e+09,4730
U232,4.214383e-03,3.486778e+09,68.9
U233,4.264229e-02,1.520335e+07,1.592e+05
Co60,3.346067e-16,1.400836e-02,5.272
