cooling_yr,activity_Bq,decay_heat_W,radiotoxicity_Sv
0,4.716791e+18,4.438511e+05,9.867321e+09
1,2.849207e+17,1.951929e+04,2.794523e+09
3,1.490692e+17,8.439142e+03,1.908806e+09
5,1.095706e+17,5.557902e+03,1.614367e+09
10,7.732317e+16,3.324552e+03,1.331101e+09
30,3.938589e+16,1.902108e+03,8.511897e+08
50,2.265966e+16,1.369650e+03,5.798014e+08
100,6.730269e+15,7.695064e+02,2.705822e+08
300,4.426455e+14,3.211658e+02,8.982620e+07
1000,2.600315e+14,2.147542e+02,6.246561e+07
10000,1.406535e+14,1.136731e+02,3.355413e+07
100000,1.175304e+13,6.253501e+00,1.715993e+06
